date,CVS
2021-05-04 11:49:35,Available ABINGTON ACTON AGAWAM ALLSTON AMHERST ARLINGTON ASHLAND ATTLEBORO BEDFORD BELCHERTOWN BELLINGHAM BELMONT BEVERLY BOSTON BOURNE BRAINTREE BRIGHTON BROCKTON BROOKLINE BURLINGTON CAMBRIDGE CHATHAM CHELSEA CHESTNUT HILL CHICOPEE COHASSET CONCORD DANVERS DEDHAM DORCHESTER DRACUT EAST BOSTON EAST BRIDGEWATER EAST FALMOUTH EVERETT FALL RIVER FITCHBURG FOXBOROUGH FRAMINGHAM GEORGETOWN GLOUCESTER GRANBY GREENFIELD HADLEY HANOVER HANSON HARWICH HAVERHILL HINGHAM HOLBROOK HOLLISTON HOLYOKE HUDSON HYANNIS IPSWICH KINGSTON LANESBOROUGH LEOMINSTER LEXINGTON LONGMEADOW LOWELL LYNN MALDEN MARBLEHEAD MARLBOROUGH MASHPEE MATTAPAN MEDFIELD MEDFORD METHUEN MIDDLEBOROUGH MILFORD MILLBURY MILLIS NEEDHAM NEW BEDFORD NEWBURYPORT NEWTON NORTH ANDOVER NORTH ATTLEBOROUGH NORTH DARTMOUTH NORTH EASTON NORTH GRAFTON NORTHAMPTON NORWELL ORLEANS PALMER PEABODY PLAINVILLE PLYMOUTH PROVINCETOWN RANDOLPH READING REVERE ROSLINDALE ROWLEY SALEM SALISBURY SANDWICH SAUGUS SEEKONK SHARON SOMERVILLE SOUTH EASTON SOUTH HAMILTON SOUTH WEYMOUTH SOUTH YARMOUTH SOUTHBRIDGE SOUTHWICK SPRINGFIELD STONEHAM STOUGHTON STURBRIDGE SWANSEA WALTHAM WAREHAM WATERTOWN WAYLAND WELLESLEY WEST SPRINGFIELD WESTBOROUGH WESTFIELD WESTFORD WESTPORT WESTWOOD WEYMOUTH WILBRAHAM WINCHESTER WINTHROP WOBURN WORCESTER WRENTHAM 
2021-05-04 11:21:56,Available ABINGTON AGAWAM ALLSTON AMHERST ARLINGTON ASHLAND ATTLEBORO BEDFORD BELCHERTOWN BELLINGHAM BELMONT BEVERLY BILLERICA BOSTON BOURNE BRAINTREE BRIGHTON BROCKTON BROOKLINE CAMBRIDGE CHATHAM CHELSEA CHESTNUT HILL CHICOPEE CONCORD DANVERS DEDHAM DORCHESTER DRACUT EAST BOSTON EAST BRIDGEWATER EAST FALMOUTH EVERETT FALL RIVER FITCHBURG FOXBOROUGH FRAMINGHAM GEORGETOWN GLOUCESTER GRANBY GREENFIELD HADLEY HANOVER HANSON HARWICH HAVERHILL HINGHAM HOLBROOK HOLLISTON HOLYOKE HUDSON HYANNIS IPSWICH KINGSTON LANESBOROUGH LEOMINSTER LEXINGTON LONGMEADOW LOWELL LYNN MALDEN MARBLEHEAD MARLBOROUGH MASHPEE MATTAPAN MEDFIELD MEDFORD METHUEN MIDDLEBOROUGH MIDDLETON MILFORD MILLBURY MILLIS NEEDHAM NEW BEDFORD NEWBURYPORT NEWTON NORTH ANDOVER NORTH ATTLEBOROUGH NORTH DARTMOUTH NORTH EASTON NORTH GRAFTON NORTHAMPTON NORWELL ORLEANS PALMER PEABODY PLAINVILLE PLYMOUTH PROVINCETOWN QUINCY RANDOLPH READING REVERE ROSLINDALE ROWLEY SALEM SALISBURY SANDWICH SAUGUS SEEKONK SHARON SOMERVILLE SOUTH EASTON SOUTH HAMILTON SOUTH WEYMOUTH SOUTH YARMOUTH SOUTHBRIDGE SOUTHWICK SPRINGFIELD STONEHAM STOUGHTON STURBRIDGE SWANSEA TAUNTON WALTHAM WAREHAM WATERTOWN WAYLAND WELLESLEY WEST NEWTON WEST SPRINGFIELD WESTBOROUGH WESTFIELD WESTFORD WESTPORT WESTWOOD WEYMOUTH WILBRAHAM WINCHESTER WINTHROP WORCESTER WRENTHAM 
2021-05-04 10:50:42,Available ABINGTON ACTON AGAWAM ALLSTON AMHERST ARLINGTON ASHLAND ATTLEBORO BEDFORD BELCHERTOWN BELLINGHAM BELMONT BEVERLY BILLERICA BOSTON BOURNE BRAINTREE BRIGHTON BROCKTON BROOKLINE BURLINGTON CAMBRIDGE CHATHAM CHELSEA CHESTNUT HILL CHICOPEE COHASSET CONCORD DANVERS DEDHAM DORCHESTER DRACUT EAST BOSTON EAST BRIDGEWATER EAST FALMOUTH EVERETT FALL RIVER FITCHBURG FOXBOROUGH FRAMINGHAM GEORGETOWN GLOUCESTER GRANBY GREENFIELD HADLEY HANOVER HANSON HARWICH HAVERHILL HINGHAM HOLBROOK HOLLISTON HOLYOKE HUDSON HYANNIS IPSWICH KINGSTON LANESBOROUGH LEOMINSTER LEXINGTON LONGMEADOW LOWELL LYNN MALDEN MARBLEHEAD MARLBOROUGH MASHPEE MATTAPAN MEDFIELD MEDFORD METHUEN MIDDLEBOROUGH MIDDLETON MILFORD MILLBURY MILLIS NEEDHAM NEW BEDFORD NEWBURYPORT NEWTON NORTH ANDOVER NORTH ATTLEBOROUGH NORTH DARTMOUTH NORTH EASTON NORTH GRAFTON NORTHAMPTON NORWELL ORLEANS PALMER PEABODY PLAINVILLE PLYMOUTH PROVINCETOWN QUINCY RANDOLPH READING REVERE ROSLINDALE ROWLEY SALEM SALISBURY SANDWICH SAUGUS SEEKONK SHARON SOMERVILLE SOUTH EASTON SOUTH HAMILTON SOUTH WEYMOUTH SOUTH YARMOUTH SOUTHBRIDGE SOUTHWICK SPRINGFIELD STONEHAM STOUGHTON STURBRIDGE SWANSEA TAUNTON WALTHAM WAREHAM WATERTOWN WAYLAND WELLESLEY WEST SPRINGFIELD WESTBOROUGH WESTFIELD WESTFORD WESTPORT WESTWOOD WEYMOUTH WILBRAHAM WINCHESTER WINTHROP WOBURN WORCESTER WRENTHAM 
2021-05-04 10:42:28,Available ABINGTON ACTON AGAWAM ALLSTON AMHERST ARLINGTON ASHLAND ATTLEBORO BEDFORD BELCHERTOWN BELLINGHAM BELMONT BEVERLY BILLERICA BOSTON BOURNE BRAINTREE BRIGHTON BROCKTON BROOKLINE BURLINGTON CAMBRIDGE CHATHAM CHELSEA CHESTNUT HILL CHICOPEE COHASSET CONCORD DANVERS DEDHAM DORCHESTER DRACUT EAST BOSTON EAST BRIDGEWATER EAST FALMOUTH EVERETT FALL RIVER FITCHBURG FOXBOROUGH FRAMINGHAM GEORGETOWN GLOUCESTER GRANBY GREENFIELD HADLEY HANOVER HANSON HARWICH HAVERHILL HINGHAM HOLBROOK HOLLISTON HOLYOKE HUDSON HYANNIS IPSWICH KINGSTON LANESBOROUGH LEOMINSTER LEXINGTON LONGMEADOW LOWELL LYNN MALDEN MARBLEHEAD MARLBOROUGH MASHPEE MATTAPAN MEDFIELD MEDFORD METHUEN MIDDLEBOROUGH MIDDLETON MILFORD MILLBURY MILLIS NEEDHAM NEW BEDFORD NEWBURYPORT NEWTON NORTH ANDOVER NORTH ATTLEBOROUGH NORTH DARTMOUTH NORTH EASTON NORTH GRAFTON NORTHAMPTON NORWELL ORLEANS PALMER PEABODY PLAINVILLE PLYMOUTH PROVINCETOWN QUINCY RANDOLPH READING REVERE ROSLINDALE ROWLEY SALEM SALISBURY SANDWICH SAUGUS SEEKONK SHARON SOMERVILLE SOUTH EASTON SOUTH HAMILTON SOUTH WEYMOUTH SOUTH YARMOUTH SOUTHBRIDGE SOUTHWICK SPRINGFIELD STONEHAM STOUGHTON STURBRIDGE SWANSEA TAUNTON WALTHAM WAREHAM WATERTOWN WAYLAND WELLESLEY WEST SPRINGFIELD WESTBOROUGH WESTFIELD WESTFORD WESTPORT WESTWOOD WEYMOUTH WILBRAHAM WINCHESTER WINTHROP WOBURN WORCESTER WRENTHAM 
2021-05-04 10:18:55,Available ABINGTON ACTON AGAWAM ALLSTON AMHERST ARLINGTON ASHLAND ATTLEBORO BEDFORD BELCHERTOWN BELLINGHAM BELMONT BEVERLY BILLERICA BOSTON BOURNE BRAINTREE BRIGHTON BROCKTON BROOKLINE BURLINGTON CAMBRIDGE CHATHAM CHELSEA CHESTNUT HILL CHICOPEE COHASSET CONCORD DANVERS DEDHAM DORCHESTER DRACUT EAST BOSTON EAST BRIDGEWATER EAST FALMOUTH EVERETT FALL RIVER FITCHBURG FOXBOROUGH FRAMINGHAM GEORGETOWN GLOUCESTER GRANBY GREENFIELD HADLEY HANOVER HANSON HARWICH HAVERHILL HINGHAM HOLBROOK HOLLISTON HOLYOKE HUDSON HYANNIS IPSWICH KINGSTON LANESBOROUGH LEOMINSTER LEXINGTON LONGMEADOW LOWELL LYNN MALDEN MARBLEHEAD MARLBOROUGH MASHPEE MATTAPAN MEDFIELD MEDFORD METHUEN MIDDLEBOROUGH MIDDLETON MILFORD MILLBURY MILLIS NEEDHAM NEW BEDFORD NEWBURYPORT NEWTON NORTH ANDOVER NORTH ATTLEBOROUGH NORTH DARTMOUTH NORTH EASTON NORTH GRAFTON NORTHAMPTON NORWELL ORLEANS PALMER PEABODY PLAINVILLE PLYMOUTH PROVINCETOWN RANDOLPH READING REVERE ROSLINDALE ROWLEY SALEM SALISBURY SANDWICH SAUGUS SEEKONK SHARON SOMERVILLE SOUTH EASTON SOUTH HAMILTON SOUTH WEYMOUTH SOUTH YARMOUTH SOUTHBRIDGE SOUTHWICK SPRINGFIELD STONEHAM STOUGHTON STURBRIDGE SWANSEA TAUNTON WAREHAM WATERTOWN WAYLAND WELLESLEY WEST NEWTON WEST SPRINGFIELD WESTBOROUGH WESTFIELD WESTFORD WESTPORT WESTWOOD WEYMOUTH WILBRAHAM WINCHESTER WINTHROP WORCESTER WRENTHAM 
2021-05-04 09:53:19,Available ABINGTON ACTON AGAWAM ALLSTON AMHERST ARLINGTON ASHLAND ATTLEBORO BEDFORD BELCHERTOWN BELLINGHAM BELMONT BEVERLY BILLERICA BOSTON BOURNE BRAINTREE BRIGHTON BROCKTON BROOKLINE BURLINGTON CAMBRIDGE CHATHAM CHELSEA CHESTNUT HILL CHICOPEE COHASSET CONCORD DANVERS DEDHAM DORCHESTER DRACUT EAST BOSTON EAST BRIDGEWATER EAST FALMOUTH EVERETT FALL RIVER FITCHBURG FOXBOROUGH FRAMINGHAM GEORGETOWN GLOUCESTER GRANBY GREENFIELD HADLEY HANOVER HANSON HARWICH HAVERHILL HINGHAM HOLBROOK HOLLISTON HOLYOKE HUDSON HYANNIS IPSWICH KINGSTON LANESBOROUGH LEOMINSTER LEXINGTON LONGMEADOW LOWELL LYNN MALDEN MARBLEHEAD MARLBOROUGH MASHPEE MATTAPAN MEDFIELD MEDFORD METHUEN MIDDLEBOROUGH MIDDLETON MILFORD MILLBURY MILLIS NEEDHAM NEW BEDFORD NEWBURYPORT NEWTON NORTH ANDOVER NORTH ATTLEBOROUGH NORTH DARTMOUTH NORTH EASTON NORTH GRAFTON NORTHAMPTON NORWELL ORLEANS PALMER PEABODY PLAINVILLE PLYMOUTH PROVINCETOWN QUINCY RANDOLPH READING REVERE ROSLINDALE ROWLEY SALEM SALISBURY SANDWICH SAUGUS SEEKONK SHARON SOMERVILLE SOUTH EASTON SOUTH HAMILTON SOUTH WEYMOUTH SOUTH YARMOUTH SOUTHBRIDGE SOUTHWICK SPRINGFIELD STONEHAM STOUGHTON STURBRIDGE SWANSEA TAUNTON WALTHAM WAREHAM WATERTOWN WAYLAND WELLESLEY WEST NEWTON WEST SPRINGFIELD WESTBOROUGH WESTFIELD WESTFORD WESTPORT WESTWOOD WEYMOUTH WILBRAHAM WINCHESTER WINTHROP WOBURN WORCESTER WRENTHAM 
2021-05-04 09:38:23,Available ABINGTON ACTON AGAWAM ALLSTON AMHERST ARLINGTON ASHLAND ATTLEBORO BEDFORD BELCHERTOWN BELLINGHAM BELMONT BEVERLY BILLERICA BOSTON BOURNE BRAINTREE BRIGHTON BROCKTON BROOKLINE BURLINGTON CAMBRIDGE CHATHAM CHELSEA CHESTNUT HILL CHICOPEE COHASSET CONCORD DANVERS DEDHAM DORCHESTER DRACUT EAST BOSTON EAST BRIDGEWATER EAST FALMOUTH EVERETT FALL RIVER FITCHBURG FOXBOROUGH FRAMINGHAM GEORGETOWN GLOUCESTER GRANBY GREENFIELD HADLEY HANOVER HANSON HARWICH HAVERHILL HINGHAM HOLBROOK HOLLISTON HOLYOKE HUDSON HYANNIS IPSWICH KINGSTON LANESBOROUGH LEOMINSTER LEXINGTON LONGMEADOW LOWELL LYNN MALDEN MARBLEHEAD MARLBOROUGH MASHPEE MATTAPAN MEDFIELD MEDFORD METHUEN MIDDLEBOROUGH MIDDLETON MILFORD MILLBURY MILLIS NEEDHAM NEW BEDFORD NEWBURYPORT NEWTON NORTH ANDOVER NORTH ATTLEBOROUGH NORTH DARTMOUTH NORTH EASTON NORTH GRAFTON NORTHAMPTON NORWELL ORLEANS PALMER PEABODY PLAINVILLE PLYMOUTH PROVINCETOWN QUINCY RANDOLPH READING REVERE ROSLINDALE ROWLEY SALEM SALISBURY SANDWICH SAUGUS SEEKONK SHARON SOMERVILLE SOUTH EASTON SOUTH HAMILTON SOUTH WEYMOUTH SOUTH YARMOUTH SOUTHBRIDGE SOUTHWICK SPRINGFIELD STONEHAM STOUGHTON STURBRIDGE SWANSEA TAUNTON WALTHAM WAREHAM WATERTOWN WAYLAND WELLESLEY WEST NEWTON WEST SPRINGFIELD WESTBOROUGH WESTFIELD WESTFORD WESTPORT WESTWOOD WEYMOUTH WILBRAHAM WINCHESTER WINTHROP WOBURN WORCESTER WRENTHAM 
2021-05-04 09:02:49,Available ABINGTON ACTON AGAWAM ALLSTON AMHERST ARLINGTON ASHLAND ATTLEBORO BEDFORD BELCHERTOWN BELLINGHAM BELMONT BEVERLY BILLERICA BOSTON BOURNE BRAINTREE BRIGHTON BROCKTON BROOKLINE BURLINGTON CAMBRIDGE CHATHAM CHELSEA CHESTNUT HILL CHICOPEE COHASSET CONCORD DANVERS DEDHAM DORCHESTER DRACUT EAST BOSTON EAST BRIDGEWATER EAST FALMOUTH EVERETT FALL RIVER FITCHBURG FOXBOROUGH FRAMINGHAM GEORGETOWN GLOUCESTER GRANBY GREENFIELD HADLEY HANOVER HANSON HARWICH HAVERHILL HINGHAM HOLBROOK HOLLISTON HOLYOKE HUDSON HYANNIS IPSWICH KINGSTON LANESBOROUGH LEOMINSTER LEXINGTON LONGMEADOW LOWELL LYNN MALDEN MARBLEHEAD MARLBOROUGH MASHPEE MATTAPAN MEDFIELD MEDFORD METHUEN MIDDLEBOROUGH MIDDLETON MILFORD MILLBURY MILLIS NEEDHAM NEW BEDFORD NEWBURYPORT NEWTON NORTH ANDOVER NORTH ATTLEBOROUGH NORTH DARTMOUTH NORTH EASTON NORTH GRAFTON NORTHAMPTON NORWELL ORLEANS PALMER PEABODY PLAINVILLE PLYMOUTH PROVINCETOWN RANDOLPH READING REVERE ROSLINDALE ROWLEY SALEM SALISBURY SANDWICH SAUGUS SEEKONK SHARON SOMERVILLE SOUTH EASTON SOUTH HAMILTON SOUTH WEYMOUTH SOUTH YARMOUTH SOUTHBRIDGE SOUTHWICK SPRINGFIELD STONEHAM STOUGHTON STURBRIDGE SWANSEA TAUNTON WALTHAM WAREHAM WATERTOWN WAYLAND WELLESLEY WEST NEWTON WEST SPRINGFIELD WESTBOROUGH WESTFIELD WESTFORD WESTPORT WESTWOOD WEYMOUTH WILBRAHAM WINCHESTER WINTHROP WOBURN WORCESTER WRENTHAM 
2021-05-04 08:28:02,Available ABINGTON ACTON AGAWAM ALLSTON AMHERST ARLINGTON ASHLAND ATTLEBORO BEDFORD BELCHERTOWN BELLINGHAM BELMONT BEVERLY BILLERICA BOSTON BOURNE BRAINTREE BRIGHTON BROCKTON BROOKLINE BURLINGTON CAMBRIDGE CHATHAM CHELSEA CHESTNUT HILL CHICOPEE COHASSET CONCORD DANVERS DEDHAM DORCHESTER DRACUT EAST BOSTON EAST BRIDGEWATER EAST FALMOUTH EVERETT FALL RIVER FITCHBURG FOXBOROUGH FRAMINGHAM GEORGETOWN GLOUCESTER GRANBY GREENFIELD HADLEY HANOVER HANSON HARWICH HAVERHILL HINGHAM HOLBROOK HOLLISTON HOLYOKE HUDSON HYANNIS IPSWICH KINGSTON LANESBOROUGH LEOMINSTER LEXINGTON LONGMEADOW LOWELL LYNN MALDEN MARBLEHEAD MARLBOROUGH MASHPEE MATTAPAN MEDFIELD MEDFORD METHUEN MIDDLEBOROUGH MIDDLETON MILFORD MILLBURY MILLIS NEEDHAM NEW BEDFORD NEWBURYPORT NEWTON NORTH ANDOVER NORTH ATTLEBOROUGH NORTH DARTMOUTH NORTH EASTON NORTH GRAFTON NORTHAMPTON NORWELL ORLEANS PALMER PEABODY PLAINVILLE PLYMOUTH PROVINCETOWN QUINCY RANDOLPH READING REVERE ROSLINDALE ROWLEY SALEM SALISBURY SANDWICH SAUGUS SEEKONK SHARON SOMERVILLE SOUTH EASTON SOUTH HAMILTON SOUTH WEYMOUTH SOUTH YARMOUTH SOUTHBRIDGE SOUTHWICK SPRINGFIELD STONEHAM STOUGHTON STURBRIDGE SWANSEA TAUNTON WALTHAM WAREHAM WATERTOWN WAYLAND WELLESLEY WEST NEWTON WEST SPRINGFIELD WESTBOROUGH WESTFIELD WESTFORD WESTPORT WESTWOOD WEYMOUTH WILBRAHAM WINCHESTER WINTHROP WOBURN WORCESTER WRENTHAM 
2021-05-04 07:49:23,Available ABINGTON ACTON AGAWAM ALLSTON AMHERST ARLINGTON ASHLAND ATTLEBORO BEDFORD BELCHERTOWN BELLINGHAM BELMONT BEVERLY BILLERICA BOSTON BOURNE BRAINTREE BRIGHTON BROCKTON BROOKLINE BURLINGTON CAMBRIDGE CHATHAM CHELSEA CHESTNUT HILL CHICOPEE COHASSET CONCORD DANVERS DEDHAM DORCHESTER DRACUT EAST BOSTON EAST BRIDGEWATER EAST FALMOUTH EVERETT FALL RIVER FITCHBURG FOXBOROUGH FRAMINGHAM GEORGETOWN GLOUCESTER GRANBY GREENFIELD HADLEY HANOVER HANSON HARWICH HAVERHILL HINGHAM HOLBROOK HOLLISTON HOLYOKE HUDSON HYANNIS IPSWICH KINGSTON LANESBOROUGH LEOMINSTER LEXINGTON LONGMEADOW LOWELL LYNN MALDEN MARBLEHEAD MARLBOROUGH MASHPEE MATTAPAN MEDFIELD MEDFORD METHUEN MIDDLEBOROUGH MIDDLETON MILFORD MILLBURY MILLIS NEEDHAM NEW BEDFORD NEWBURYPORT NEWTON NORTH ANDOVER NORTH ATTLEBOROUGH NORTH DARTMOUTH NORTH EASTON NORTH GRAFTON NORTHAMPTON NORWELL ORLEANS PALMER PEABODY PLAINVILLE PLYMOUTH PROVINCETOWN QUINCY RANDOLPH READING REVERE ROSLINDALE ROWLEY SALEM SALISBURY SANDWICH SAUGUS SEEKONK SHARON SOMERVILLE SOUTH EASTON SOUTH HAMILTON SOUTH WEYMOUTH SOUTH YARMOUTH SOUTHBRIDGE SOUTHWICK SPRINGFIELD STONEHAM STOUGHTON STURBRIDGE SWANSEA TAUNTON WALTHAM WAREHAM WATERTOWN WAYLAND WELLESLEY WEST NEWTON WEST SPRINGFIELD WESTBOROUGH WESTFIELD WESTFORD WESTPORT WESTWOOD WEYMOUTH WILBRAHAM WILMINGTON WINCHESTER WINTHROP WOBURN WORCESTER WRENTHAM 
